Name	X	Y
S3.recal.table	12	12.0
S3.recal.table	13	11.0
S3.recal.table	14	11.0
S3.recal.table	15	12.0
S3.recal.table	16	15.0
S3.recal.table	17	16.0
S3.recal.table	18	18.0
S3.recal.table	19	19.0
S3.recal.table	20	20.0
S3.recal.table	21	21.0
S3.recal.table	24	22.0
S3.recal.table	25	24.0
S3.recal.table	26	25.0
S3.recal.table	27	27.0
S3.recal.table	28	28.0
S3.recal.table	29	29.0
S3.recal.table	30	30.0
S3.recal.table	31	31.0
S3.recal.table	32	32.0
S3.recal.table	33	31.0
S3.recal.table	34	31.0
S3.recal.table	35	34.0
S3.recal.table	36	35.0
S3.recal.table	37	35.0
S3.recal.table	38	35.0
S3.recal.table	39	35.0
S3.recal.table	40	40.0
