"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_3018017"	1779.6200625	2288.9506875	1990.8844375	1848.3731875	1447.23975	1672.5166875	2092.517	1994.516375	1954.6638125	1541.076375	2163.91	1766.2399375	1541.076375	1845.3978125	1841.314625	1307.7215875
"ILMN_2834687"	103.167028125	130.0701	108.28693625	153.977525	124.39045	129.38451875	132.9495375	147.0498625	132.1847	123.30153125	126.490025	119.597619375	139.16985625	113.740800625	128.662675	122.22517375
"ILMN_1229273"	125.73503125	126.40208125	117.01721	130.0701	130.687	128.828875	137.60834375	148.428275	139.16985625	125.9476125	116.157354375	136.8528875	134.54766875	142.63666875	119.47717	153.32080625
"ILMN_2956159"	27361.68125	27361.68125	28396.050625	27361.68125	29346.109375	27361.68125	27361.68125	27361.68125	30503.618125	30503.618125	27361.68125	24768.771875	27361.68125	27361.68125	28396.050625	27361.68125
"ILMN_2706140"	112.50391	107.343246875	109.499200625	190.9382	86.354823125	120.723591875	128.37160625	178.09030625	153.977525	100.44169875	228.58955	141.8085875	121.4106625	191.55674375	185.64744375	94.385150625
"ILMN_2778799"	168.36945625	149.3810625	140.45598125	161.38310625	156.55773125	154.2278375	164.5973875	146.4106125	161.6557375	140.3779	152.34818125	149.97625625	147.73970625	136.13443125	134.99883125	132.9495375
"ILMN_1257214"	119.207114375	136.8528875	145.9830375	126.40208125	111.3651875	162.89061875	129.59349375	145.2058125	180.47830625	172.04693125	143.63205625	154.58224375	161.2029875	181.477025	170.3074625	148.84333125
"ILMN_1215493"	8168.944	8440.2223125	9341.1164375	9061.523875	9769.245375	8779.1444375	7687.282375	8567.0879375	7687.282375	8311.74425	8509.2166875	9127.8018125	7948.312	8048.8745625	8509.2166875	8311.74425
"ILMN_1239430"	1070.832125	854.5002125	862.38963125	947.8784875	666.1641375	1014.9745375	857.9393875	1009.67005	1309.72263125	862.38963125	1120.19954375	1076.29941875	1037.39583125	965.145725	953.6585	949.86641875
"ILMN_2662962"	488.29579375	424.1533625	384.6267125	455.92690625	380.52584375	438.04120625	363.40731875	522.01415	545.23164375	326.74744375	581.520725	421.673425	458.940825	613.168375	523.21825	406.47354375
"ILMN_2848090"	1309.72263125	1273.3701875	1382.8636875	1372.5138375	937.1514375	1280.0885125	1280.0885125	1407.1428125	1299.87600625	1152.54508125	1579.0143125	1521.7818125	1192.84748125	1291.3852	1270.34245625	1090.8254625
"ILMN_2691177"	128.662675	124.6508	120.443336875	123.8357625	111.646889375	129.0632875	128.91345	144.58245	122.8930125	120.220749375	132.9495375	136.35315625	110.791046875	147.2383625	134.168025	119.47717
"ILMN_2666279"	1877.081	1610.2545	2073.6450625	1829.31775	1573.1156875	1622.261125	1414.65498125	1500.3675	1466.9484375	1676.0915	1646.3021875	1793.8011875	1676.0915	1810.9780625	1721.946625	1604.0029375
"ILMN_1219289"	138.12269375	138.30355625	129.869125	149.2260125	132.1243	135.55080625	159.33245625	117.719901875	156.73866875	137.0724	138.678025	145.52283125	129.59349375	192.93326875	182.3587875	130.7610625
"ILMN_1235979"	1019.45725	905.75931875	1074.979775	1146.08158125	706.49643125	803.51015	1201.641325	881.9683375	1131.78986875	1118.26206875	1099.48361875	851.20089375	854.5002125	953.6585	1025.69451875	1140.69938125
"ILMN_1223546"	559.972125	522.01415	463.1071375	384.03631875	468.8555625	527.47725625	577.0215125	396.13605625	460.81968125	549.77914375	577.0215125	568.56460625	619.35105625	512.9307	399.88875625	539.162925
"ILMN_2856599"	153.6985625	153.977525	149.97625625	142.3031375	181.97333125	158.6427125	169.89706875	172.04693125	147.8378375	166.38884375	134.54766875	143.130375	144.8410875	138.8572	139.36968125	185.80355625
"ILMN_1243875"	567.6446625	473.1048125	636.841625	646.90693125	595.24604375	566.7454	518.85448125	557.11449375	542.55135625	642.58028125	553.2442875	602.34839375	540.1172375	497.64855625	575.0241625	659.59561875
"ILMN_3090731"	1090.8254625	1070.832125	1122.51450625	1086.430225	1291.3852	930.89540625	1204.351475	1282.81564375	1042.93950625	1135.8040125	1122.51450625	1002.75813125	1178.5776375	973.3330625	1092.48196875	991.32246875
"ILMN_2751925"	389.96106875	322.49250625	353.791825	434.9839375	342.69443125	427.86334375	358.38483125	425.628425	496.77698125	376.2571625	386.6937125	410.59405625	440.57100625	435.834525	490.7163125	374.72365625
"ILMN_2940510"	2121.21575	2185.6764375	1935.7615625	1750.411125	1918.411125	2009.3550625	2221.8096875	1965.35575	1779.6200625	2041.892875	1888.1185	2143.321	2053.6634375	1935.7615625	1766.2399375	1981.8438125
"ILMN_2722081"	1198.15410625	1088.952825	1104.89761875	1343.4954625	1009.67005	1307.7215875	1137.99463125	1403.58475	1285.15585625	1019.45725	1379.22678125	1254.81499375	1073.21324375	1571.3953125	1473.8015	885.17323125
"ILMN_1231810"	256.63408125	233.11426875	232.55204375	189.05531875	286.46931875	234.49990625	200.20255	215.56548125	190.22409375	244.08588125	192.764575	223.386375	192.28273125	219.61236875	199.78315	264.465525
"ILMN_2715840"	1364.4865625	1232.70406875	1031.28336875	1362.5261875	1110.9843625	1297.6281875	1264.62216875	1307.7215875	1754.4011875	1141.8779125	1270.34245625	1313.20301875	1567.444875	1152.54508125	1304.7353875	1392.60309375
"ILMN_2865074"	124.09690625	138.8572	156.28130625	98.566146875	134.38233125	121.27456875	126.6206125	126.8723375	127.02911875	125.3832875	114.792836875	149.66449375	114.131794375	137.13711875	138.678025	125.6813625
"ILMN_2643115"	270.3056375	246.373825	252.10080625	270.02800625	280.28693125	239.63683125	203.48208125	248.45408125	264.465525	241.1125	261.7837	231.4667875	270.3056375	261.7837	266.608625	247.31411875
"ILMN_2701664"	210.38860625	190.0034125	268.582675	248.757825	310.9815375	186.8077875	244.08588125	193.889125	212.63359375	270.02800625	209.5528	162.68918125	186.595025	222.038525	242.4071125	246.78915
"ILMN_2653081"	1254.81499375	1133.97130625	1086.430225	1356.46480625	1220.40865625	1285.15585625	1184.717325	1356.46480625	1554.869	1096.60789375	1487.1578125	1204.351475	1343.4954625	1442.5149375	1419.449425	1187.5914125
"ILMN_2734729"	1588.315875	1510.5605	3000.8996875	3184.133125	3223.1130625	2298.219375	1626.2465	3257.916625	3735.0006875	2797.013625	1759.7298125	1776.656625	2019.7389375	1375.80570625	2530.746875	4057.5128125
"ILMN_3135566"	6461.444625	6727.555125	6914.2179375	6749.13925	7270.735125	6914.2179375	6914.2179375	7446.1363125	6914.2179375	6855.364875	6855.364875	6801.3855625	7793.0061875	6647.067375	6494.9383125	6801.3855625
"ILMN_2828731"	272.937725	267.99361875	230.4782	304.5577625	241.65163125	257.84428125	272.937725	296.83805625	321.23494375	282.52185625	285.3097	291.0678125	334.73606875	288.1842625	348.32423125	239.3341875
"ILMN_2672544"	436.53631875	478.53583125	420.975475	463.1071375	497.64855625	493.2716375	441.26981875	468.8555625	473.91536875	479.56318125	446.16639375	547.97866875	493.2716375	522.01415	476.6070375	454.0346625
"ILMN_1218037"	153.977525	164.90071875	125.73503125	107.942454375	108.82835625	140.77523125	193.889125	114.073848125	123.13625	112.112336875	155.77185	125.9476125	163.5052	190.77165625	121.187354375	112.871879375
"ILMN_2741738"	207.78935625	217.88810625	252.957	255.46186875	233.88163125	241.65163125	225.50045	223.778975	206.1664375	236.59223125	207.258375	234.49990625	189.67269375	248.757825	192.764575	243.53925
"ILMN_2605307"	324.2838125	264.465525	353.29175625	351.88310625	321.7353875	325.81138125	323.89803125	318.109875	375.46215	296.0426625	320.77649375	327.91088125	313.59493125	318.9340875	323.38513125	279.93808125
"ILMN_2605756"	392.823775	364.35035	387.69995	352.3492	336.9879	387.0865375	403.995675	382.17024375	406.47354375	364.35035	412.0013125	419.03473125	394.717725	402.65084375	367.03693125	338.76325625
"ILMN_2774435"	615.2714	563.24843125	613.168375	566.7454	683.9234875	554.92565	513.946825	557.81445	584.70318125	586.84064375	557.11449375	584.70318125	551.69400625	547.267675	558.59181875	621.8352375
"ILMN_2600643"	124.961725	122.041805	126.799675	104.210921875	139.16985625	141.16549375	128.828875	117.593849375	131.32893125	130.0701	117.406393125	132.84819375	125.3832875	127.36031875	130.7610625	111.182769375
"ILMN_2727992"	18360.045	17665.08375	15483.284375	17382.534375	18104.249375	18360.045	18104.249375	17382.534375	17382.534375	17159.43125	17837.545	17159.43125	18104.249375	17837.545	16930.825625	17159.43125
"ILMN_2981363"	1696.2176875	1318.88675	1703.68025	1841.314625	1721.946625	1399.4982625	1476.3991875	1907.811375	1994.516375	2099.071125	1352.4790375	1316.13915625	1382.8636875	1650.7585625	2012.379375	2221.8096875
"ILMN_2606947"	15307.384375	15483.284375	13782.1475	14054.9125	15088.74625	14623.14125	15088.74625	15307.384375	15483.284375	14282.6475	14914.08875	15088.74625	15307.384375	15483.284375	14914.08875	14054.9125
"ILMN_2731080"	279.5469375	259.67560625	270.3056375	242.4071125	293.9186125	203.17023125	232.55204375	239.63683125	264.0501	290.3903875	255.9441	277.80234375	223.386375	291.0678125	295.62204375	255.9441
"ILMN_1237017"	321.7353875	360.3740125	355.4992	439.61655625	324.632125	409.6721	351.47860625	487.57464375	381.7972125	337.66519375	441.26981875	369.70091875	288.757175	362.01008125	429.134025	338.3907375
"ILMN_2466164"	1044.93379375	1034.744375	1343.4954625	1423.1983	1457.8200625	949.86641875	998.5776	1461.95625	1324.17790625	1588.315875	946.24818125	940.9521375	1078.59551875	946.24818125	1481.083375	1262.1648125
"ILMN_1242106"	160.689325	157.98915	153.58099375	193.1217125	164.38221875	149.73395625	169.29009375	167.971225	162.68918125	166.886325	140.569675	134.168025	133.0356125	163.5052	171.84215625	185.64744375
"ILMN_2678269"	2954.2486875	2676.2823125	2839.4650625	2366.4953125	2733.493625	3022.433	2604.7236875	2588.7381875	2468.58425	2578.4308125	2512.950625	2870.92275	2830.4230625	2520.55575	2440.3715	3065.2653125
"ILMN_2669128"	684.82855	728.1685	683.9234875	595.24604375	707.848425	651.92150625	701.65303125	669.69266875	672.267575	646.90693125	641.51358125	686.1296875	737.69863125	686.1296875	663.88220625	669.69266875
"ILMN_2618396"	765.90859375	772.66655	928.24871875	767.61976875	761.1760375	866.3765125	767.61976875	772.66655	757.94825	840.94576875	721.18961875	876.64373125	774.00280625	663.88220625	753.858275	774.00280625
"ILMN_2823269"	852.69630625	784.28740625	911.889625	722.89168125	880.193475	757.94825	735.11091875	733.38693125	845.5168375	866.3765125	683.9234875	790.625475	842.65825625	790.625475	804.600525	854.5002125
"ILMN_2502542"	2016.3876875	2012.379375	1754.4011875	1567.444875	1614.103125	1927.210125	2073.6450625	1642.4338125	1595.44525	1672.5166875	1784.588125	1703.68025	2001.420625	1981.8438125	1515.857125	1614.103125
"ILMN_1254938"	162.5495875	143.03445625	165.352325	190.77165625	154.3483125	130.58923125	142.39375625	200.77796875	184.21155625	184.40591875	189.44370625	153.32080625	151.85443125	167.7258875	198.73231875	144.95715
"ILMN_2723190"	137.29269375	130.32516875	134.76488125	138.8572	113.669435	142.092025	144.67599375	136.25385625	133.88411875	127.9809375	119.80512	128.662675	141.56990625	136.962925	135.55080625	114.073848125
"ILMN_1258406"	1881.0499375	1959.4888125	1860.9055625	1837.6320625	2191.0966875	1923.6328125	1860.9055625	1854.1038125	2005.5525	2063.8109375	1841.314625	1894.9728125	1841.314625	1912.0780625	1885.4665625	2009.3550625
"ILMN_2877165"	2397.5846875	2351.9936875	2694.47525	2358.3340625	2530.746875	2434.06575	2685.3815	2277.6180625	2449.2735	2499.3095	2335.053625	2351.9936875	2530.746875	2397.5846875	2073.6450625	2449.2735
"ILMN_2740710"	1076.29941875	1053.188925	1073.21324375	919.514075	1316.13915625	1135.8040125	992.53105	974.44511875	967.023925	1066.484275	1051.48546875	1165.2303875	1152.54508125	1051.48546875	1039.3038	1108.95990625
"ILMN_1220769"	980.981975	1104.89761875	919.514075	951.77278125	891.0882375	982.85376875	1120.19954375	988.7609875	972.0028375	917.894925	1118.26206875	929.457175	1008.342275	1163.37806875	926.36906875	940.9521375
"ILMN_3007971"	283.99254375	333.66496875	246.373825	261.4119875	303.26800625	335.40865625	307.5087375	292.27215625	273.13159375	258.1617	325.81138125	343.45846875	344.52788125	294.2873125	246.78915	260.8707625
"ILMN_2718499"	164.5973875	155.5926	173.7895	199.29061875	141.9934625	185.46065	151.33383125	215.8771	182.50580625	166.07261875	168.95135625	183.78215	173.7895	176.04131875	163.8537	144.8410875
"ILMN_2653166"	1892.5151875	1815.2065	1930.90675	2068.3038125	1829.31775	1697.6658125	1894.9728125	1996.4461875	1965.35575	1660.1533125	1918.411125	1638.9209375	1743.7135625	1859.1211875	1954.6638125	1740.479875
"ILMN_3107690"	450.9457375	434.088325	456.75800625	430.10854375	481.49545	411.09823125	439.61655625	431.9712375	504.2649625	475.05268125	368.43214375	399.88875625	460.81968125	394.04749375	441.26981875	460.81968125
"ILMN_1239698"	7144.03925	7144.03925	6528.972625	5832.601	7497.242125	7030.3163125	7327.2480625	6236.4964375	5997.2966875	7327.2480625	6104.55375	7030.3163125	7327.2480625	6528.972625	6461.444625	6727.555125
"ILMN_1246859"	148.5499875	147.73970625	143.03445625	139.83394375	115.48899875	185.01788125	153.6985625	119.132248125	138.73895	131.4682625	144.1747375	164.5973875	140.15368125	138.5331125	168.69920625	183.78215
"ILMN_2639230"	3899.053	4018.864125	3717.0436875	3717.0436875	3307.55225	3717.0436875	4071.258	3899.053	3606.001375	3446.35375	4071.258	3717.0436875	3761.6344375	4042.48825	3606.001375	3293.9956875
"ILMN_2741402"	15695.20125	14914.08875	18777.92375	15979.311875	14914.08875	16711.92625	15483.284375	15695.20125	15088.74625	16930.825625	14054.9125	16711.92625	16238.831875	14282.6475	15088.74625	15483.284375
"ILMN_3114632"	264.0501	225.8833125	290.3903875	484.38000625	190.59796875	267.10499375	248.757825	412.0013125	413.4063	196.55869375	415.21165	362.01008125	236.9908375	455.92690625	449.14925	215.7196125
"ILMN_2986978"	179.26236875	192.764575	221.53599375	240.3386375	248.23236875	191.9310375	173.10009375	215.1386875	183.09571875	213.226625	193.60750625	170.5135875	160.2796375	185.64744375	216.396825	192.28273125
"ILMN_2876482"	3971.424	3689.8781875	3333.2766875	3293.9956875	3474.347375	3816.9488125	3658.64	3355.044375	3065.2653125	3011.326	3899.053	4057.5128125	3606.001375	3971.424	3307.55225	3124.1765625
"ILMN_2691780"	54534.586875	55841.854375	57517.8475	57517.8475	53417.111875	57517.8475	57517.8475	59376.99875	54534.586875	59376.99875	59376.99875	55841.854375	59376.99875	57517.8475	57517.8475	59376.99875
"ILMN_2885123"	293.56075	298.77138125	397.503475	238.77508125	392.823775	235.36209375	328.41909375	235.60181875	259.3312625	434.41009375	276.9074	236.9908375	229.83450625	328.41909375	263.60473125	428.55265
"ILMN_2652181"	6647.067375	7089.6139375	5870.1899375	5052.4953125	6026.508125	6855.364875	7030.3163125	6528.972625	5904.2951875	5721.767125	6342.0953125	6686.988875	6686.988875	6342.0953125	5302.233375	5808.802375
"ILMN_2703886"	424.1533625	403.2991625	383.5506375	363.40731875	389.34301875	386.6937125	447.8066	343.45846875	367.712875	424.99023125	429.134025	394.04749375	475.05268125	422.91811875	347.07859375	347.07859375
"ILMN_2615559"	3203.8131875	2915.828875	3157.82725	3138.9763125	2561.6939375	3223.1130625	3000.8996875	2806.4708125	3075.5344375	2839.4650625	2848.6610625	3570.484	3203.8131875	2839.4650625	2915.828875	3075.5344375
"ILMN_2881477"	4196.1819375	3932.7009375	4594.5345	4284.1685	4329.56275	4851.5295	3761.6344375	4246.4726875	4246.4726875	4580.025875	3784.0095625	4509.5985	4131.825625	3914.8439375	4284.1685	4770.8651875
"ILMN_1216559"	5139.8805	5467.160625	5407.90125	5528.5918125	4851.5295	5601.7380625	4963.7245625	6137.915875	5511.0620625	4937.29575	4984.012625	5199.489875	4697.39575	4682.4035	5199.489875	6026.508125
"ILMN_2989706"	195.033675	220.038525	216.5583375	196.96364375	282.76045	204.9496625	214.19265625	247.90790625	167.7258875	199.78315	189.84823125	186.8077875	195.266375	211.68346875	167.08535	223.778975
"ILMN_1218993"	513.946825	466.60140625	640.32735	567.6446625	678.37416875	539.162925	480.671125	604.99025625	535.09910625	583.4984625	466.60140625	531.76878125	543.29290625	500.61184375	586.84064375	700.27863125
"ILMN_3082287"	491.70749375	540.1172375	583.4984625	669.69266875	473.1048125	525.39425	481.49545	586.84064375	592.8165125	511.78436875	598.945925	563.24843125	463.1071375	611.1523875	480.671125	481.49545
