task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	ae/b2199b	185408	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (S3-L1)	COMPLETED	0	2025-12-08 23:03:35.105	2.8s	2.3s	146.2%	1.2 GB	2.2 GB	25.9 MB	13.3 MB
17	d2/775db9	185576	NFCORE_SAREK:SAREK:FASTQC (S3-L1)	COMPLETED	0	2025-12-08 23:03:35.807	6.6s	6s	276.3%	574.8 MB	7.4 GB	25.4 MB	4 MB
15	e4/9183b0	186356	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2025-12-08 23:03:45.153	592ms	117ms	104.9%	1.7 MB	4.6 MB	147.9 KB	12.1 KB
14	2d/bf185a	186562	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2025-12-08 23:03:53.529	581ms	0ms	97.7%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
83	33/16cee8	186731	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	COMPLETED	0	2025-12-08 23:03:54.257	554ms	91ms	76.6%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
77	b8/47fc0e	186727	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	COMPLETED	0	2025-12-08 23:03:54.246	601ms	133ms	52.6%	1.7 MB	4.6 MB	137.2 KB	3.9 KB
80	18/7a2d9f	186746	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	COMPLETED	0	2025-12-08 23:03:54.267	659ms	87ms	67.6%	1.7 MB	4.6 MB	137.5 KB	3.8 KB
79	ae/f118f5	186846	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	COMPLETED	0	2025-12-08 23:03:54.313	629ms	99ms	67.3%	1.8 MB	4.6 MB	136.8 KB	3.6 KB
68	0c/882ade	186787	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	COMPLETED	0	2025-12-08 23:03:54.290	639ms	86ms	74.2%	1.8 MB	4.6 MB	137 KB	3.7 KB
78	86/a50e7c	186818	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	COMPLETED	0	2025-12-08 23:03:54.302	684ms	99ms	59.5%	1.8 MB	4.6 MB	136.9 KB	3.7 KB
76	24/dca462	186929	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	COMPLETED	0	2025-12-08 23:03:54.345	642ms	94ms	62.1%	1.7 MB	4.6 MB	138.5 KB	4.3 KB
74	74/fcd936	186882	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	COMPLETED	0	2025-12-08 23:03:54.333	654ms	95ms	65.2%	1.8 MB	4.6 MB	137.1 KB	3.7 KB
72	74/9b9190	187006	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	COMPLETED	0	2025-12-08 23:03:54.372	615ms	78ms	72.7%	1.7 MB	4.6 MB	137.3 KB	3.8 KB
69	93/492f88	186765	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	COMPLETED	0	2025-12-08 23:03:54.278	707ms	80ms	55.2%	1.7 MB	4.6 MB	137 KB	3.9 KB
82	65/5239c2	186857	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	COMPLETED	0	2025-12-08 23:03:54.324	662ms	109ms	54.0%	1.8 MB	4.6 MB	137.6 KB	3.9 KB
71	f7/1c5d97	187066	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	COMPLETED	0	2025-12-08 23:03:54.394	667ms	97ms	68.9%	1.7 MB	4.6 MB	137 KB	3.7 KB
70	bb/b1fb8c	186988	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	COMPLETED	0	2025-12-08 23:03:54.361	709ms	82ms	71.6%	1.7 MB	4.6 MB	137 KB	3.7 KB
73	e5/67a191	187033	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	COMPLETED	0	2025-12-08 23:03:54.380	693ms	87ms	59.8%	1.7 MB	4.6 MB	137 KB	3.7 KB
