chrom	length	bases	mean	min	max
chr1	248956422	17338	0.00	0	11
chr1_region	248956422	17338	0.00	0	11
chr2	242193529	49064	0.00	0	32
chr2_region	242193529	49064	0.00	0	32
chr3	198295559	2837	0.00	0	3
chr3_region	198295559	2837	0.00	0	3
chr4	190214555	40540	0.00	0	15
chr4_region	190214555	40540	0.00	0	15
chr5	181538259	19913	0.00	0	12
chr5_region	181538259	19913	0.00	0	12
chr6	170805979	1802	0.00	0	2
chr6_region	170805979	1802	0.00	0	2
chr7	159345973	40053	0.00	0	22
chr7_region	159345973	40053	0.00	0	22
chr8	145138636	5752	0.00	0	16
chr8_region	145138636	5752	0.00	0	16
chr9	138394717	57032	0.00	0	36
chr9_region	138394717	57032	0.00	0	36
chr10	133797422	9561	0.00	0	8
chr10_region	133797422	9561	0.00	0	8
chr11	135086622	103123	0.00	0	25
chr11_region	135086622	103123	0.00	0	25
chr12	133275309	7941	0.00	0	16
chr12_region	133275309	7941	0.00	0	16
chr13	114364328	141611	0.00	0	79
chr13_region	114364328	141611	0.00	0	79
chr14	107043718	1123	0.00	0	2
chr14_region	107043718	1123	0.00	0	2
chr15	101991189	1740	0.00	0	3
chr15_region	101991189	1740	0.00	0	3
chr16	90338345	1318	0.00	0	10
chr16_region	90338345	1318	0.00	0	10
chr17	83257441	55740	0.00	0	30
chr17_region	83257441	55740	0.00	0	30
chr18	80373285	1197	0.00	0	3
chr18_region	80373285	1197	0.00	0	3
chr19	58617616	37608	0.00	0	11
chr19_region	58617616	37608	0.00	0	11
chr20	64444167	1281	0.00	0	6
chr20_region	64444167	1281	0.00	0	6
chr21	46709983	373	0.00	0	1
chr21_region	46709983	373	0.00	0	1
chr22	50818468	597	0.00	0	2
chr22_region	50818468	597	0.00	0	2
chrX	156040895	13232	0.00	0	16
chrX_region	156040895	13232	0.00	0	16
chrY	57227415	356	0.00	0	1
chrY_region	57227415	356	0.00	0	1
total	3088269832	611132	0.00	0	79
total_region	3088269832	611132	0.00	0	79
