task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	4d/d59c43	156258	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (S3-L1)	COMPLETED	0	2025-12-09 00:01:02.081	3.8s	2.9s	120.5%	1.2 GB	2.2 GB	25.9 MB	13.3 MB
1	2d/bf185a	186562	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	2025-12-08 23:03:53.529	581ms	0ms	97.7%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
74	74/fcd936	186882	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	CACHED	0	2025-12-08 23:03:54.333	654ms	95ms	65.2%	1.8 MB	4.6 MB	137.1 KB	3.7 KB
69	93/492f88	186765	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	CACHED	0	2025-12-08 23:03:54.278	707ms	80ms	55.2%	1.7 MB	4.6 MB	137 KB	3.9 KB
81	be/10f3b5	187245	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	CACHED	0	2025-12-08 23:03:54.431	693ms	93ms	63.7%	1.8 MB	4.6 MB	137 KB	3.7 KB
70	bb/b1fb8c	186988	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	CACHED	0	2025-12-08 23:03:54.361	709ms	82ms	71.6%	1.7 MB	4.6 MB	137 KB	3.7 KB
78	86/a50e7c	186818	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	CACHED	0	2025-12-08 23:03:54.302	684ms	99ms	59.5%	1.8 MB	4.6 MB	136.9 KB	3.7 KB
79	ae/f118f5	186846	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	CACHED	0	2025-12-08 23:03:54.313	629ms	99ms	67.3%	1.8 MB	4.6 MB	136.8 KB	3.6 KB
75	0f/31460b	187138	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	CACHED	0	2025-12-08 23:03:54.422	656ms	84ms	62.1%	1.8 MB	4.6 MB	136.8 KB	3.6 KB
83	33/16cee8	186731	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	CACHED	0	2025-12-08 23:03:54.257	554ms	91ms	76.6%	1.7 MB	4.6 MB	137.1 KB	3.7 KB
82	65/5239c2	186857	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	CACHED	0	2025-12-08 23:03:54.324	662ms	109ms	54.0%	1.8 MB	4.6 MB	137.6 KB	3.9 KB
71	f7/1c5d97	187066	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	CACHED	0	2025-12-08 23:03:54.394	667ms	97ms	68.9%	1.7 MB	4.6 MB	137 KB	3.7 KB
80	18/7a2d9f	186746	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	CACHED	0	2025-12-08 23:03:54.267	659ms	87ms	67.6%	1.7 MB	4.6 MB	137.5 KB	3.8 KB
86	d9/ebe7ce	189015	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr13_86252980-111703855)	CACHED	0	2025-12-08 23:03:54.938	399ms	47ms	120.8%	1.7 MB	4.6 MB	137.2 KB	3.8 KB
73	e5/67a191	187033	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	CACHED	0	2025-12-08 23:03:54.380	693ms	87ms	59.8%	1.7 MB	4.6 MB	137 KB	3.7 KB
77	b8/47fc0e	186727	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	CACHED	0	2025-12-08 23:03:54.246	601ms	133ms	52.6%	1.7 MB	4.6 MB	137.2 KB	3.9 KB
76	24/dca462	186929	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	CACHED	0	2025-12-08 23:03:54.345	642ms	94ms	62.1%	1.7 MB	4.6 MB	138.5 KB	4.3 KB
68	0c/882ade	186787	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	CACHED	0	2025-12-08 23:03:54.290	639ms	86ms	74.2%	1.8 MB	4.6 MB	137 KB	3.7 KB
87	fa/875b8b	189069	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_41229379-41237752)	CACHED	0	2025-12-08 23:03:54.949	385ms	49ms	121.9%	1.7 MB	4.6 MB	137.9 KB	4 KB
85	81/6a06a3	188412	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_51078349-54425074)	CACHED	0	2025-12-08 23:03:54.819	441ms	47ms	112.0%	1.8 MB	4.6 MB	137 KB	3.7 KB
72	74/9b9190	187006	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	CACHED	0	2025-12-08 23:03:54.372	615ms	78ms	72.7%	1.7 MB	4.6 MB	137.3 KB	3.8 KB
84	7c/758542	188676	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_10001-207666)	CACHED	0	2025-12-08 23:03:54.857	445ms	47ms	94.1%	1.7 MB	4.6 MB	136.9 KB	3.5 KB
88	da/047e69	189176	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrY_9055175-9057608)	CACHED	0	2025-12-08 23:03:54.968	379ms	45ms	110.9%	1.7 MB	4.6 MB	138 KB	3.8 KB
5	e4/9183b0	186356	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	CACHED	0	2025-12-08 23:03:45.153	592ms	117ms	104.9%	1.7 MB	4.6 MB	147.9 KB	12.1 KB
16	b0/774e1e	156261	NFCORE_SAREK:SAREK:FASTQC (S3-L1)	COMPLETED	0	2025-12-09 00:01:02.097	9.7s	9s	178.0%	589.8 MB	7.4 GB	25.5 MB	4 MB
25	6e/388c16	161855	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:02:00.716	12.3s	11.5s	165.6%	5.3 GB	12.2 GB	5.3 GB	5.5 MB
50	44/e634de	164150	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:02:13.063	12s	11.1s	176.9%	5.3 GB	12.2 GB	5.3 GB	5.2 MB
47	2c/54af97	165639	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:02:25.146	13.9s	13.2s	153.0%	5.3 GB	5.9 GB	5.3 GB	5.2 MB
37	39/30b449	167290	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:02:39.110	10.4s	9.4s	150.0%	5.3 GB	6.7 GB	5.3 GB	5.5 MB
34	71/5b7715	168813	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:02:49.562	11.3s	10.8s	177.7%	5.3 GB	12.4 GB	5.3 GB	5.6 MB
44	f5/9826c8	170583	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:03:00.873	14.4s	13s	125.5%	5.3 GB	6 GB	5.3 GB	5.5 MB
49	94/1be047	172881	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:03:15.472	14.2s	13.3s	161.4%	5.3 GB	6 GB	5.3 GB	5.3 MB
29	08/75fc44	174491	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:03:29.674	12s	11.6s	137.5%	5.3 GB	6.7 GB	5.3 GB	5.6 MB
22	3c/2375f6	176615	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:03:41.785	14.6s	12.7s	142.0%	5.3 GB	5.9 GB	5.3 GB	5.6 MB
51	d9/52c888	178603	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:03:56.411	12.8s	12.3s	147.6%	5.3 GB	12.2 GB	5.3 GB	5.2 MB
41	84/daa223	180626	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:04:09.236	13.3s	12.5s	160.2%	5.3 GB	5.9 GB	5.3 GB	5.6 MB
31	a7/da3090	183110	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S3)	COMPLETED	0	2025-12-09 00:04:22.623	7.7s	7.4s	197.8%	5.3 GB	12.2 GB	5.3 GB	5.6 MB
89	5c/9758e0	184727	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (S3)	COMPLETED	0	2025-12-09 00:04:32.797	52.9s	51.7s	140.7%	6.8 GB	29.2 GB	6.1 GB	16.6 MB
90	57/41686c	188905	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (S3)	COMPLETED	0	2025-12-09 00:05:32.059	24s	24s	102.5%	254.9 MB	336.2 MB	6 GB	298.9 KB
91	c8/a30f88	188904	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (S3)	COMPLETED	0	2025-12-09 00:05:32.046	1m 1s	1m	100.2%	2 GB	2.1 GB	3.5 GB	31.9 MB
102	ae/436a0d	194007	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:34.962	18.4s	17.8s	147.9%	781.3 MB	7.5 GB	294.7 MB	727.1 KB
101	2d/024908	194340	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:35.497	18.4s	18s	167.8%	724.9 MB	7.5 GB	427.1 MB	1 MB
105	1c/e5c4a3	194456	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:35.540	19.3s	18.8s	174.5%	664.8 MB	11.9 GB	372.7 MB	1 MB
95	b5/248ffe	194008	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:34.974	20.3s	19.7s	160.6%	778.1 MB	11.8 GB	323.2 MB	1.1 MB
107	0d/54195e	194491	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:35.553	20s	19.6s	167.2%	639.6 MB	11.7 GB	331.8 MB	1.2 MB
98	50/99904c	194172	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:35.248	20.7s	20.2s	160.7%	831.9 MB	11.7 GB	434.7 MB	1.1 MB
100	9d/9b02d1	193930	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:34.485	21.7s	20.6s	159.7%	743.5 MB	11.8 GB	399.1 MB	1.1 MB
94	d6/ca1c0c	203441	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:55.553	16s	15.3s	169.3%	764.7 MB	11.9 GB	325.3 MB	798.1 KB
97	a6/91930f	203201	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:55.303	16.4s	15.8s	187.1%	806.1 MB	11.8 GB	402.9 MB	789.1 KB
99	59/c850ed	203006	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:54.853	17.7s	17s	181.1%	1 GB	11.7 GB	388.6 MB	999.6 KB
96	48/ec49ed	201506	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:53.346	19.3s	18.4s	182.3%	943.2 MB	7.6 GB	367 MB	1.2 MB
93	26/4ece90	201901	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:53.919	18.7s	18s	174.3%	1.1 GB	7.6 GB	378 MB	1.2 MB
104	d1/fcbd1f	203770	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:55.933	18.1s	17.6s	184.5%	1.1 GB	7.6 GB	444.3 MB	943 KB
103	32/bbc9d3	203945	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:06:56.221	17.9s	17.4s	190.2%	1.2 GB	7.6 GB	467.1 MB	1020.4 KB
113	36/cbae26	211959	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:07:12.703	12.8s	11.9s	196.6%	510.8 MB	11.7 GB	179.9 MB	702.6 KB
108	49/62d92c	211308	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S3)	COMPLETED	0	2025-12-09 00:07:11.661	14.8s	14.3s	190.3%	734.5 MB	11.8 GB	386.1 MB	730.5 KB
