chrom	length	bases	mean	min	max
chr1	248956422	17762	0.00	0	12
chr1_region	248956422	17762	0.00	0	12
chr2	242193529	50491	0.00	0	32
chr2_region	242193529	50491	0.00	0	32
chr3	198295559	3019	0.00	0	3
chr3_region	198295559	3019	0.00	0	3
chr4	190214555	41348	0.00	0	15
chr4_region	190214555	41348	0.00	0	15
chr5	181538259	20361	0.00	0	12
chr5_region	181538259	20361	0.00	0	12
chr6	170805979	1995	0.00	0	2
chr6_region	170805979	1995	0.00	0	2
chr7	159345973	40063	0.00	0	22
chr7_region	159345973	40063	0.00	0	22
chr8	145138636	5903	0.00	0	16
chr8_region	145138636	5903	0.00	0	16
chr9	138394717	57330	0.00	0	38
chr9_region	138394717	57330	0.00	0	38
chr10	133797422	9718	0.00	0	8
chr10_region	133797422	9718	0.00	0	8
chr11	135086622	103795	0.00	0	25
chr11_region	135086622	103795	0.00	0	25
chr12	133275309	7967	0.00	0	16
chr12_region	133275309	7967	0.00	0	16
chr13	114364328	142263	0.00	0	79
chr13_region	114364328	142263	0.00	0	79
chr14	107043718	1264	0.00	0	2
chr14_region	107043718	1264	0.00	0	2
chr15	101991189	1827	0.00	0	3
chr15_region	101991189	1827	0.00	0	3
chr16	90338345	1440	0.00	0	10
chr16_region	90338345	1440	0.00	0	10
chr17	83257441	56543	0.00	0	31
chr17_region	83257441	56543	0.00	0	31
chr18	80373285	1147	0.00	0	2
chr18_region	80373285	1147	0.00	0	2
chr19	58617616	38520	0.00	0	13
chr19_region	58617616	38520	0.00	0	13
chr20	64444167	1277	0.00	0	6
chr20_region	64444167	1277	0.00	0	6
chr21	46709983	309	0.00	0	1
chr21_region	46709983	309	0.00	0	1
chr22	50818468	659	0.00	0	2
chr22_region	50818468	659	0.00	0	2
chrX	156040895	13269	0.00	0	16
chrX_region	156040895	13269	0.00	0	16
chrY	57227415	431	0.00	0	1
chrY_region	57227415	431	0.00	0	1
chrUn_GL000219v1	179198	354	0.00	0	2
chrUn_GL000219v1_region	179198	354	0.00	0	2
chrUn_KI270750v1	148850	178	0.00	0	2
chrUn_KI270750v1_region	148850	178	0.00	0	2
chr17_GL000258v2_alt	1821992	62	0.00	0	1
chr17_GL000258v2_alt_region	1821992	62	0.00	0	1
chr5_KI270897v1_alt	1144418	42	0.00	0	1
chr5_KI270897v1_alt_region	1144418	42	0.00	0	1
chr15_KI270905v1_alt	5161414	35	0.00	0	1
chr15_KI270905v1_alt_region	5161414	35	0.00	0	1
chr6_GL000254v2_alt	4827813	30	0.00	0	1
chr6_GL000254v2_alt_region	4827813	30	0.00	0	1
chr6_GL000255v2_alt	4606388	30	0.00	0	1
chr6_GL000255v2_alt_region	4606388	30	0.00	0	1
chrUn_JTFH01000389v1_decoy	1862	35	0.02	0	1
chrUn_JTFH01000389v1_decoy_region	1862	35	0.02	0	1
total	3106161767	619467	0.00	0	79
total_region	3106161767	619467	0.00	0	79
